stadium_id,name,aliases,city,state,country,lat,lon,elevation_m,timezone,orientation_deg,orientation_bucket,orientation_src,roof_type,surface,capacity,year_built,avg_wind_static,wind_vol_static,wind_impact_static,weakest_wind_effect,avg_wind_sep,avg_wind_oct,avg_wind_nov,avg_wind_dec,avg_wind_jan,avg_temp_f,wikidata_qid,osm_way_id,cfbd_venue_id,espn_venue_id,nflverse_stadium_id,needs_review,elev_src,latlon_src,review_note
acrisure-stadium,Acrisure Stadium,Heinz Field,Pittsburgh,PA,US,40.446792,-80.015768,220.7,America/New_York,154.5,NW-SE,osm_pitch,open,grass,65500,2001,5.27,mid,med,x N/W,5.6,6.64,7.24,7.27,7.66,54.03,Q1067148,way/172659571,,,PIT00,0,epqs,osm_pitch,
lumen-field,Lumen Field,CenturyLink Field,Seattle,WA,US,47.595159,-122.331629,5.5,America/Los_Angeles,0,N-S,osm_pitch,open,fieldturf,67000,2002,4.58,high,low,E/W,6.34,6.95,7.7,7.56,7.27,52.12,Q612736,way/163840038,,,SEA00,0,epqs,osm_pitch,
levis-stadium,Levi's Stadium,,Santa Clara,CA,US,37.403179,-121.969804,4,America/Los_Angeles,152,NW-SE,osm_pitch,open,grass,68500,2014,8.05,low,low,E/W,5.42,4.85,4.24,4.47,4.87,59.94,Q7419343,way/357300430,,,SFO01,0,epqs,osm_pitch,
raymond-james-stadium,Raymond James Stadium,,Tampa,FL,US,27.975967,-82.503353,11.1,America/New_York,179.7,N-S,osm_pitch,open,grass,65890,1998,9.23,very high,low,E/W,6.55,8.34,8.14,8.01,8.61,72.89,Q1141343,way/172698720,3886,,TAM00,0,epqs,osm_pitch,
nissan-stadium,Nissan Stadium,,Nashville,TN,US,36.166467,-86.771284,121.1,America/Chicago,155.6,NW-SE,osm_pitch,open,grass,67700,1999,7.58,mid,med,E/W,4.8,5.96,6.32,6.9,7.07,60.22,Q1142992,way/172668023,3810,,NAS00,0,epqs,osm_pitch,
northwest-stadium,Northwest Stadium,FedExField|FedEx Field|Commanders Field,Landover,MD,US,38.90767,-76.864496,59.7,America/New_York,119.2,NW-SE,osm_pitch,open,grass,64000,1997,9.08,mid,low,all,6.0,6.72,7.2,6.88,7.79,57.08,Q583085,way/612644655,,,WAS00,0,epqs,osm_pitch,
wembley-stadium,Wembley Stadium,,London,,GB,51.556038,-0.2796,46,Europe/London,96.8,E-W,osm_stadium_mrr,open,grass,90000,2007,,,,,8.15,8.83,9.17,9.91,9.65,52.06,Q128468,relation/12942436,,,LON00,0,openmeteo,osm_stadium_mrr,
tottenham-hotspur-stadium,Tottenham Hotspur Stadium,,London,,GB,51.604177,-0.066238,13,Europe/London,179.4,N-S,osm_stadium_mrr,open,grass,62850,2019,,,,,8.26,9.03,9.38,10.15,9.88,52.26,Q55074091,way/538300255,,,LON02,0,openmeteo,osm_stadium_mrr,
melbourne-cricket-ground,Melbourne Cricket Ground,,Melbourne,VIC,AU,-37.819832,144.983368,13,Australia/Melbourne,132.2,NW-SE,osm_stadium_mrr,open,matrixturf,100024,1853,,,,,9.42,9.3,8.86,8.87,8.69,58.66,Q330136,way/210337258,,,MEL00,0,openmeteo,osm_stadium_mrr,
estadio-banorte,Estadio Banorte,Estadio Azteca,Mexico City,,MX,19.302934,-99.150474,2200,America/Mexico_City,6.5,N-S,osm_stadium_mrr,open,grass,83264,1966,,,,,3.89,4.57,4.12,3.98,4.51,61.51,Q320454,way/4758704,,,MEX00,0,openmeteo,osm_stadium_mrr,
allianz-arena,Allianz Arena,FC Bayern Munich Stadium,Munich,,DE,48.218792,11.624701,491,Europe/Berlin,164,N-S,osm_stadium_mrr,open,fieldturf,75000,2005,,,,,5.29,5.6,6.15,6.75,7.6,50.04,Q127429,way/1257847557,,,MUN01,0,openmeteo,osm_stadium_mrr,
stade-de-france,Stade de France,,Saint-Denis,,FR,48.924469,2.360133,33,Europe/Paris,168.9,N-S,osm_stadium_mrr,open,sportturf,80698,1998,,,,,6.85,7.55,8.14,8.55,8.62,54.09,Q13205,way/64003104,,,PAR00,0,openmeteo,osm_stadium_mrr,
maracana-stadium,Maracana Stadium,Estadio do Maracana|Maracanã,Rio de Janeiro,,BR,-22.912156,-43.230187,15,America/Sao_Paulo,153,NW-SE,osm_stadium_mrr,open,matrixturf,78838,1950,,,,,5.82,5.99,5.62,5.0,4.64,74.45,Q155174,relation/4587734,,,RIO00,0,openmeteo,osm_stadium_mrr,
santiago-bernabeu-stadium,Santiago Bernabeu Stadium,Bernabeu|Estadio Santiago Bernabéu,Madrid,,ES,40.453052,-3.688278,716,Europe/Madrid,93.9,E-W,osm_stadium_mrr,retractable,fieldturf,78297,1947,,,,,5.7,5.76,6.04,5.38,5.96,58.86,Q164027,way/1507411898,,,MAD01,0,openmeteo,osm_stadium_mrr,
croke-park,Croke Park,,Dublin,,IE,53.360295,-6.251106,3,Europe/Dublin,98.9,E-W,osm_stadium_mrr,open,,82300,1884,,,,,9.75,10.53,11.36,12.12,12.09,51.43,Q478225,way/564099741,,,DUB00,0,openmeteo,osm_stadium_mrr,
neo-quimica-arena,Neo Quimica Arena,Arena Corinthians,Sao Paulo,,BR,-23.545223,-46.474504,779,America/Sao_Paulo,81.9,E-W,osm_stadium_mrr,open,,49205,2014,,,,,7.39,7.49,7.23,6.5,6.33,66.56,Q1362236,way/218667236,,,SAO00,0,openmeteo,osm_stadium_mrr,
deutsche-bank-park,Deutsche Bank Park,Waldstadion|Frankfurt Stadium,Frankfurt,,DE,50.068597,8.645417,124,Europe/Berlin,128.6,NW-SE,osm_stadium_mrr,open,,51500,1925,,,,,5.92,6.43,6.81,7.29,8.08,52.72,Q157273,way/5117941,,,FRA00,0,openmeteo,osm_stadium_mrr,
falcon-stadium,Falcon Stadium,,Colorado Springs,CO,US,38.997075,-104.843519,2018.9,America/Denver,0.7,N-S,osm_pitch,open,turf,46692,1962,,Mid,Med,E,7.6,8.1,8.7,9.1,5.27,46.59,Q907843,way/610745998,3713,,,0,epqs,osm_pitch,
summa-field-at-infocision-stadium,Summa Field at InfoCision Stadium,,Akron,OH,US,41.072584,-81.50842,315.2,America/New_York,0.7,N-S,osm_pitch,open,turf,30000,2009,,High,Med,E,6.7,7.8,8.8,9.4,8.63,52.03,Q6030359,way/160904096,3768,,,0,epqs,osm_pitch,
bryant-denny-stadium,Bryant Denny Stadium,,Tuscaloosa,AL,US,33.207658,-87.550458,67.1,America/Chicago,3.4,N-S,osm_pitch,open,grass,101821,1929,,Low,Low,all,3.5,3.9,4.1,4.3,6.66,64.71,Q995161,way/108946808,3657,,,0,epqs,osm_pitch,
kidd-brewer-stadium,Kidd Brewer Stadium,,Boone,NC,US,36.211603,-81.68549,990.9,America/New_York,168.1,N-S,osm_pitch,open,turf,30000,1962,,High,High,,3.9,4.6,5.2,5.6,8.45,52.4,Q6404623,way/207628331,3792,,,0,epqs,osm_pitch,
